2018-07-31 23:55:11,972 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\src\main\resources
2018-07-31 23:55:11,975 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-31 23:55:11,978 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\src\test\resources
2018-08-01 00:00:37,125 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-01 00:00:37,127 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\src\main\resources
2018-08-01 00:00:37,130 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-01 00:00:37,133 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\src\test\resources
2018-08-01 00:00:46,553 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: RaviAutoSel:RaviAutoSel:0.0.1-SNAPSHOT @ C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\pom.xml.
2018-08-01 00:00:48,496 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/testng/org/testng/6.8.21/testng-6.8.21.pom
2018-08-01 00:00:48,506 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for testng.org:testng:jar:6.8.21 is missing, no dependency information available
2018-08-01 00:00:49,433 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/testng/org/testng/6.8.21/testng-6.8.21.jar
2018-08-01 00:00:51,243 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-01 00:00:51,243 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shravi\Desktop\RaviAutoSel\RaviAutoSel\src\main\resources
